epoch,direction_mae,learning_rate,loss,speed_mae,val_direction_mae,val_loss,val_speed_mae
0,0.44414830207824707,9.999999747378752e-05,0.15404754877090454,0.16989125311374664,0.3996409773826599,0.13483713567256927,0.12249231338500977
1,0.3912307620048523,9.999999747378752e-05,0.13357892632484436,0.14128826558589935,0.35568341612815857,0.12017937004566193,0.12335028499364853
2,0.36913058161735535,9.999999747378752e-05,0.1261177957057953,0.13950875401496887,0.3467889726161957,0.11690434068441391,0.11733625829219818
3,0.35067257285118103,9.999999747378752e-05,0.11979725956916809,0.13730576634407043,0.3304431140422821,0.11128811538219452,0.11314453929662704
4,0.33072078227996826,9.999999747378752e-05,0.11310473829507828,0.13628250360488892,0.3016204237937927,0.10177405178546906,0.11469407379627228
5,0.3148474097251892,9.999999747378752e-05,0.10751466453075409,0.13185811042785645,0.29664987325668335,0.09990380704402924,0.10888931900262833
6,0.3041529059410095,9.999999747378752e-05,0.10367025434970856,0.127407044172287,0.2913432717323303,0.09802044928073883,0.10781466960906982
7,0.29753682017326355,9.999999747378752e-05,0.10116545110940933,0.12280113995075226,0.2805171012878418,0.09416745603084564,0.10228899866342545
8,0.2907872796058655,9.999999747378752e-05,0.09876952320337296,0.12046559154987335,0.2791540026664734,0.09376227110624313,0.10355113446712494
9,0.28584763407707214,9.999999747378752e-05,0.09709581732749939,0.11961913108825684,0.270486980676651,0.09085717797279358,0.10196151584386826
10,0.28070494532585144,9.999999747378752e-05,0.09526818990707397,0.11800318211317062,0.26154881715774536,0.08778578042984009,0.10098828375339508
11,0.27652788162231445,9.999999747378752e-05,0.09376145899295807,0.11606141924858093,0.2623066306114197,0.08797737956047058,0.09938909113407135
12,0.2734810411930084,9.999999747378752e-05,0.09267847239971161,0.11499961465597153,0.2581813633441925,0.08670233935117722,0.10027977079153061
13,0.2692658305168152,9.999999747378752e-05,0.09122573584318161,0.11406487226486206,0.2513182759284973,0.08471599966287613,0.1026247963309288
14,0.26558718085289,9.999999747378752e-05,0.0899575799703598,0.11291265487670898,0.25050854682922363,0.08398893475532532,0.09899824112653732
15,0.26168328523635864,9.999999747378752e-05,0.08857608586549759,0.11173278093338013,0.24400754272937775,0.08199097216129303,0.09932920336723328
16,0.2581399083137512,9.999999747378752e-05,0.08737281709909439,0.11136846989393234,0.23964698612689972,0.08036458492279053,0.09819550067186356
17,0.2551603317260742,9.999999747378752e-05,0.08639802783727646,0.11116494238376617,0.2376982718706131,0.07968781143426895,0.09698446094989777
18,0.25095134973526,9.999999747378752e-05,0.0849304124712944,0.10994891822338104,0.23759976029396057,0.07968883216381073,0.09753946959972382
19,0.24887824058532715,9.999999747378752e-05,0.08414071053266525,0.10864672064781189,0.23286792635917664,0.07809893786907196,0.09859015047550201
20,0.24758245050907135,9.999999747378752e-05,0.08369825035333633,0.10821496695280075,0.2328365594148636,0.07839343696832657,0.10157686471939087
21,0.2452237457036972,9.999999747378752e-05,0.08288177102804184,0.1076449453830719,0.23699896037578583,0.07959867268800735,0.09957072138786316
22,0.2407272607088089,4.999999873689376e-05,0.08127830177545547,0.10578054934740067,0.22467592358589172,0.07523158937692642,0.09477224200963974
23,0.23954316973686218,4.999999873689376e-05,0.08084248006343842,0.10514645278453827,0.22497038543224335,0.07531137764453888,0.09456633031368256
24,0.2388828545808792,4.999999873689376e-05,0.08064345270395279,0.10525538772344589,0.22255675494670868,0.07450605928897858,0.09434156864881516
25,0.23775547742843628,4.999999873689376e-05,0.0802314355969429,0.1047261580824852,0.22130782902240753,0.07405079156160355,0.09373632818460464
26,0.23736347258090973,4.999999873689376e-05,0.08005789667367935,0.10385631769895554,0.21993699669837952,0.07358817756175995,0.09361577779054642
27,0.23661409318447113,4.999999873689376e-05,0.0797751247882843,0.10341262817382812,0.22131869196891785,0.0740719884634018,0.09444095194339752
28,0.2343691885471344,4.999999873689376e-05,0.0790405347943306,0.10370718687772751,0.21938259899616241,0.0734182819724083,0.09419892728328705
29,0.23343436419963837,4.999999873689376e-05,0.07867103070020676,0.10245897620916367,0.2187589854001999,0.07316762953996658,0.09302984923124313
30,0.23410853743553162,4.999999873689376e-05,0.07886601984500885,0.10192907601594925,0.21919424831867218,0.0733005702495575,0.09329887479543686
31,0.23227816820144653,4.999999873689376e-05,0.0782710537314415,0.10242379456758499,0.2167159616947174,0.07254358381032944,0.09364446252584457
32,0.23202385008335114,4.999999873689376e-05,0.07819519191980362,0.10262391716241837,0.2179836928844452,0.07294143736362457,0.0943828597664833
33,0.22980310022830963,4.999999873689376e-05,0.07744329422712326,0.10210859030485153,0.21677875518798828,0.07242226600646973,0.09149782359600067
34,0.22993676364421844,4.999999873689376e-05,0.07747504860162735,0.10159749537706375,0.21458563208580017,0.07173870503902435,0.0922183245420456
35,0.22977010905742645,4.999999873689376e-05,0.07741445302963257,0.10160675644874573,0.2150159329175949,0.07182977348566055,0.09120059758424759
36,0.2286432981491089,4.999999873689376e-05,0.07699546962976456,0.10112152993679047,0.21359550952911377,0.0713389441370964,0.09117313474416733
37,0.22763916850090027,4.999999873689376e-05,0.0766342505812645,0.10036876052618027,0.2136927843093872,0.07140010595321655,0.09128637611865997
38,0.22666114568710327,4.999999873689376e-05,0.0763259157538414,0.10099434852600098,0.21170464158058167,0.07072009891271591,0.09136181324720383
39,0.2280118465423584,4.999999873689376e-05,0.07672787457704544,0.10003264248371124,0.21175415813922882,0.07079877704381943,0.09212634712457657
